city,state,country,monetary,frequency,donation_start_date,last_donation_date,mean_amount,med_amount,max_amount,min_amount,recency,is_recurring,donor_id
Chula Vista,CA,US,122.4,12,2022-08-02 17:53:48,2023-08-04 17:55:23,10.2,10.3,10.3,10.0,859,True,D16
Fort Collins,CO,US,4223.0,40,2022-10-03 18:01:45,2025-12-03 19:13:19,105.575,103.0,206.0,103.0,7,True,D17
Stapleton,GA,US,12.0,1,2022-02-22 04:01:00,2022-02-22 04:01:00,12.0,12.0,12.0,12.0,1388,False,D18
Round Rock,TX,US,2200.0,2,2024-07-01 09:00:00,2025-08-11 09:00:00,1100.0,1100.0,1200.0,1000.0,122,True,D19
Tempe,AZ,US,480.0,3,2022-08-31 17:36:38,2022-09-27 23:56:56,160.0,160.0,160.0,160.0,1170,True,D20
Lubbock,TX,US,1081.5,14,2024-10-16 14:30:54,2025-11-16 19:19:29,77.25,77.25,77.25,77.25,24,True,D21
Tuscaloosa,AL,US,1050.0,14,2024-11-04 13:12:47,2025-12-04 19:12:53,75.0,75.0,75.0,75.0,6,True,D22
Tucson,AZ,US,2850.0,19,2022-09-22 17:47:42,2024-03-22 17:52:12,150.0,150.0,150.0,150.0,628,True,D23
Columbus,GA,US,1030.0,20,2022-09-26 17:44:54,2025-01-11 13:11:50,51.5,51.5,51.5,51.5,334,True,D24
Tempe,AZ,US,2336.0,41,2022-08-11 17:43:49,2025-11-18 19:12:53,56.97560975609756,51.5,206.0,50.0,22,True,D25
Champions Gate,FL,US,2500.0,1,2022-10-17 09:00:00,2022-10-17 09:00:00,2500.0,2500.0,2500.0,2500.0,1151,False,D26
Phoenix,AZ,US,1700.0,17,2024-08-01 15:38:23,2025-12-01 19:27:45,100.0,100.0,100.0,100.0,9,True,D27
Tucson,AZ,US,1648.0,16,2022-09-20 18:11:27,2023-12-20 18:02:52,103.0,103.0,103.0,103.0,721,True,D28
Dallas,TX,US,2163.0,14,2024-11-02 14:13:18,2025-12-02 19:14:38,154.5,154.5,154.5,154.5,8,True,D29
Marble Falls,TX,US,144.20000000000002,14,2024-11-05 13:13:02,2025-12-05 19:15:22,10.3,10.3,10.3,10.3,5,True,D30
Denver,CO,US,2600.0,13,2022-10-31 17:35:31,2023-10-31 17:35:07,200.0,200.0,200.0,200.0,771,True,D31
Lubbock,TX,US,2884.0,14,2024-10-25 14:29:45,2025-11-25 19:13:14,206.0,206.0,206.0,206.0,15,True,D32
Mesa,AZ,US,721.0,14,2024-07-10 14:25:25,2025-08-10 19:17:49,51.5,51.5,51.5,51.5,122,True,D33
Salt Lake City,UT,US,4500.0,33,2022-10-01 21:33:09,2025-06-01 14:20:55,136.36363636363637,100.0,200.0,100.0,193,True,D34
Tucson,AZ,US,500.0,1,2022-10-21 23:14:20,2022-10-21 23:14:20,500.0,500.0,500.0,500.0,1146,False,D35
Fort Bragg,NC,US,1650.0,33,2022-09-15 19:52:07,2023-12-07 17:53:05,50.0,50.0,50.0,50.0,734,True,D36
Houston,TX,US,185.4,3,2024-11-01 15:29:19,2025-01-01 13:22:39,61.79999999999999,61.8,61.8,61.8,344,True,D37
Tucson,AZ,US,2700.0,27,2022-10-10 18:10:53,2024-11-10 13:15:04,100.0,100.0,100.0,100.0,396,True,D38
Tucson,AZ,US,2500.0,24,2022-05-13 05:37:00,2024-07-30 14:22:24,104.16666666666669,100.0,200.0,100.0,499,True,D39
Tucson,AZ,US,9421.5,46,2022-03-16 21:34:00,2025-06-07 19:21:46,204.8152173913044,257.5,257.5,51.5,186,True,D40
Scottsdale,AZ,US,2100.0,21,2024-03-13 17:41:50,2025-11-13 19:12:21,100.0,100.0,100.0,100.0,27,True,D41
Salt Lake City,UT,US,4700.0,39,2022-05-01 21:25:41,2025-12-01 19:25:00,120.51282051282053,100.0,300.0,100.0,9,True,D42
Midland,TX,US,700.0,14,2024-10-29 14:20:52,2025-11-29 19:12:30,50.0,50.0,50.0,50.0,11,True,D43
Oro Valley,AZ,US,2727.0,27,2022-10-15 20:18:07,2025-11-28 19:15:11,101.0,100.0,103.0,100.0,12,True,D44
Oro Valley,AZ,US,14234.25,48,2022-08-17 20:42:38,2025-11-28 19:14:40,296.546875,214.97,4000.0,74.0,12,True,D45
Oro Valley,AZ,US,10000.0,1,2024-10-07 14:47:16,2024-10-07 14:47:16,10000.0,10000.0,10000.0,10000.0,429,False,D46
Fort Moore,GA,US,231.0,3,2024-01-11 17:37:14,2024-04-02 04:12:15,77.0,51.5,154.5,25.0,618,True,D47
Tucson,AZ,US,1200.0,1,2022-09-20 01:02:27,2022-09-20 01:02:27,1200.0,1200.0,1200.0,1200.0,1178,False,D48
Tucson,AZ,US,515.0,1,2022-09-13 06:18:55,2022-09-13 06:18:55,515.0,515.0,515.0,515.0,1185,False,D49
Tucson,AZ,US,1003.0,19,2022-04-19 23:27:00,2025-11-20 19:13:36,52.78947368421053,50.0,103.0,50.0,20,True,D50
Tucson,AZ,US,25.75,1,2022-10-12 06:04:39,2022-10-12 06:04:39,25.75,25.75,25.75,25.75,1156,False,D51
Tucson,AZ,US,9167.0,40,2022-09-03 17:56:54,2025-12-01 19:25:32,229.175,103.0,5150.0,103.0,9,True,D52
Clinton,OK,US,144.20000000000002,14,2024-11-05 13:12:46,2025-12-05 19:14:55,10.3,10.3,10.3,10.3,5,True,D53
Tucson,AZ,US,862.0,34,2022-09-12 17:43:41,2025-11-20 19:13:30,25.352941176470587,25.0,25.75,25.0,20,True,D54
Tempe,AZ,US,150.0,3,2025-09-21 19:26:04,2025-11-21 19:19:52,50.0,50.0,50.0,50.0,19,True,D55
Laramie,WY,US,3672.0,42,2022-08-08 17:45:46,2025-12-08 19:14:26,87.42857142857143,77.25,300.0,77.25,2,True,D56
Lubbock,TX,US,1100.0,11,2024-11-01 15:29:07,2025-09-01 19:29:35,100.0,100.0,100.0,100.0,100,True,D57
Pasadena,CA,US,1500.0,30,2023-07-02 17:46:32,2025-12-02 19:14:14,50.0,50.0,50.0,50.0,8,True,D58
Kingwood,TX,US,4500.0,23,2022-12-26 17:37:59,2025-12-06 19:13:13,195.65217391304347,100.0,1000.0,100.0,4,True,D59
LAKEWOOD,CO,US,900.0,12,2024-06-01 15:56:48,2025-05-01 14:20:15,75.0,75.0,75.0,75.0,224,True,D60
Tucson,AZ,US,560.0,14,2022-10-01 21:33:08,2023-11-01 20:36:38,40.0,40.0,40.0,40.0,770,True,D61
Amarillo,TX,US,8500.0,17,2024-08-12 09:00:00,2025-12-08 09:00:00,500.0,500.0,500.0,500.0,3,True,D62
Tucson,AZ,US,103.0,1,2024-06-28 14:42:27,2024-06-28 14:42:27,103.0,103.0,103.0,103.0,530,False,D63
Coahoma,TX,US,7210.0,14,2024-10-25 14:28:51,2025-11-25 19:13:04,515.0,515.0,515.0,515.0,15,True,D64
Dripping Springs,TX,US,7725.0,15,2024-10-07 14:33:18,2025-12-07 19:16:54,515.0,515.0,515.0,515.0,3,True,D65
Montgomery,TX,US,721.0,14,2024-10-15 14:52:11,2025-11-15 19:20:29,51.5,51.5,51.5,51.5,25,True,D66
Argyle,TX,US,1424.0,14,2024-10-26 14:21:21,2025-11-27 19:14:12,101.71428571428572,103.0,103.0,100.0,13,True,D67
Silverdale,WA,US,1500.0,15,2024-10-10 14:21:52,2025-12-10 19:13:19,100.0,100.0,100.0,100.0,0,True,D68
Centerville,OH,US,51.5,1,2022-04-04 01:33:00,2022-04-04 01:33:00,51.5,51.5,51.5,51.5,1347,False,D69
Denver,CO,US,3120.0,39,2022-10-01 21:33:12,2025-12-01 19:25:24,80.0,80.0,80.0,80.0,9,True,D70
Loyal,WI,US,3900.0,39,2022-10-01 21:32:34,2025-12-01 19:24:48,100.0,100.0,100.0,100.0,9,True,D71
